arrived_at,num_prefill_tokens,num_decode_tokens
20.401205745496018,26556,479
26.833687026995328,78513,171
53.505540483156985,162964,144
71.36154230792587,28331,115
73.329135301095,80990,358
91.75614195548462,167127,201
116.93314401131626,162853,314
121.91367239065274,174472,242
155.06843427511467,21703,488
187.8477515169257,130785,274
194.35879069360257,76443,590
223.19443563083345,46793,147
232.7528066464438,114104,533
241.1833465683385,89342,513
242.07180018024127,140435,374
244.73845500688313,119230,140
260.7995099166128,114800,395
265.0705189249988,38233,123
286.7211634123228,95861,140
325.3854658147742,46476,294
331.89933741414006,115638,183
341.145792419189,74921,443
347.3573788419887,38717,411
367.5133476975318,160021,473
373.1290903139823,141178,294
379.4218758586833,166001,212
402.501051645391,34663,217
436.9983180607405,102694,305
443.23073472260864,75307,567
500.4931608276778,102490,208
521.8028241195375,123712,552
570.9987373826201,140285,173
577.1531724682304,84651,481
593.6350683104445,88876,482
611.2046611528109,172969,304
620.1928895835366,56262,360
633.7981339662915,32351,540
636.1209271339978,61938,505
658.9397112778913,176345,132
668.6548058325516,176208,339
683.7176055395609,165024,540
740.812978393757,50029,449
784.0326839227579,89946,493
804.5192136330352,49242,250
815.9294966047253,138940,101
877.4319024421942,89045,597
891.3183043272933,66832,359
940.069875827978,98235,530
960.4446243683092,179637,201
963.7619211032782,62349,376
1025.1278718952212,159029,570
1025.1393130896795,104975,350
1025.532691359076,115153,549
1109.9599552332757,100612,222
1111.153366562717,168729,584
1112.7939962886976,147399,517
1114.228482224577,159645,492
1116.9165007562367,144592,584
1132.8779274069993,89483,370
1174.0602050925459,130923,593
1178.8202278414244,161373,486
1205.0017888994328,72730,465
1212.472872074505,117889,324
1258.447539411579,138354,161
1264.1454083949086,36784,273
1264.570581034187,165207,217
1282.3265958235165,21885,136
1306.935734251713,35433,217
1308.3313191803363,28234,540
1316.3536653229066,154782,221
1322.881493104668,147248,209
1338.3787892676883,169695,395
1351.177403001669,143987,513
1361.63064301342,44726,149
1383.147087314312,112876,316
1393.7371423934376,34200,444
1414.9320225456215,45799,131
1425.236102513185,108946,509
1464.7987321089,85183,198
1469.018311633618,137601,171
1479.9778447516253,93018,336
1485.7263254767342,39761,326
1518.7338409096149,164264,150
1519.7720965189378,161711,528
1520.0694532599907,44448,574
1548.0826344040247,81965,185
1558.5140998029026,146185,209
1598.5119832853197,35370,184
1608.039601511597,122346,235
1660.253917546954,139277,246
1671.2524372778464,165691,438
1696.5983781145615,60579,197
1703.6380353656214,35331,396
1730.2542580888623,35979,482
1737.7802928503268,33144,399
1750.7356834834914,159231,180
1751.9069095910972,153124,141
1790.0291212260606,37962,404
1791.4367306879024,81657,306
1793.990821328356,169336,226
1811.2894253548886,30418,417
1813.0002215893298,173006,389
