arrived_at,num_prefill_tokens,num_decode_tokens
20.401205745496018,106556,479
26.833687026995328,158513,171
53.505540483156985,242964,144
71.36154230792587,108331,115
73.329135301095,160990,358
91.75614195548462,247127,201
116.93314401131626,242853,314
121.91367239065274,172926,514
162.61073464618892,141853,457
173.59563361118302,172842,179
178.4450603722268,188236,152
180.39171339902595,125353,283
218.00278823168873,169342,513
218.8912418435915,220435,374
221.55789667023336,199230,140
237.61895157996307,194800,395
241.88996058834903,118233,123
263.54060507567306,175861,140
302.2049074781244,126476,294
308.7187790774903,195638,183
317.9652340825392,154921,443
324.1768205053389,118717,411
344.33278936088203,240021,473
349.94853197733255,221178,294
356.2413175220335,246001,212
379.3204933087412,114663,217
413.8177597240907,182694,305
420.0501763859589,155307,567
477.31260249102803,182490,208
498.6222657828877,203712,552
547.8181790459703,220285,173
553.9726141315806,164651,481
570.4545099737946,168876,482
588.0241028161611,204700,285
592.9759211491694,136262,360
606.5811655319243,112351,540
608.9039586996306,141938,505
631.7227428435241,116653,297
641.3357622424921,222696,370
647.1271491533101,245024,540
704.2225220075063,130029,449
747.4422275365072,169946,493
767.9287572467845,129242,250
779.3390402184746,218940,101
840.8414460559435,169045,597
854.7278479410426,146832,359
903.4794194417273,178235,530
923.8541679820585,152143,178
933.2195140156807,142349,376
994.5854648076239,239029,570
994.596906002082,184975,350
994.9902842714785,195153,549
1079.4175481456782,180612,222
1080.6109594751197,248729,584
1082.2515892011002,227399,517
1083.6860751369795,239645,492
1086.3740936686393,224592,584
1102.335520319402,169483,370
1143.5177980049484,210923,593
1148.277820753827,241373,486
1174.4593818118353,152730,465
1181.9304649869075,197889,324
1227.9051323239817,218354,161
1233.6030013073112,116784,273
1234.0281739465895,245207,217
1251.784188735919,101885,136
1276.3933271641156,115433,217
1277.7889120927389,108234,540
1285.8112582353092,234782,221
1292.3390860170705,227248,209
1307.8363821800908,249695,395
1320.6349959140716,223987,513
1331.0882359258226,124726,149
1352.6046802267147,192876,316
1363.1947353058401,114200,444
1384.389615458024,125799,131
1394.6936954255875,188946,509
1434.2563250213025,165183,198
1438.4759045460205,217601,171
1449.4354376640279,173018,336
1455.1839183891368,119761,326
1488.1914338220174,244264,150
1489.2296894313404,241711,528
1489.5270461723933,124448,574
1517.5402273164273,161965,185
