arrived_at,num_prefill_tokens,num_decode_tokens
20.401205745496018,106556,589
26.833687026995328,158513,435
53.505540483156985,242964,422
71.36154230792587,108331,407
73.329135301095,160990,529
91.75614195548462,247127,450
116.93314401131626,242853,507
121.91367239065274,172926,401
150.35685955567925,141853,578
161.34175852067335,172842,439
166.19118528171714,188236,426
168.13783830851628,125353,491
205.74891314117906,169342,411
231.9157217501044,240568,431
304.2400254639048,199230,420
320.3010803736345,194800,547
324.57208938202047,118233,411
346.2227338693445,175861,420
384.88703627179586,126476,497
391.40090787116173,195638,441
400.64736287621065,154921,571
406.85894929901036,118717,555
427.01491815455347,240021,586
432.630660771004,221178,497
438.92344631570495,246001,456
462.00262210241266,114663,458
496.49988851776214,182694,502
502.7323051796303,155307,545
544.5411621098682,182490,454
565.8508254017279,203712,564
578.1320693552002,169436,435
583.7959792711539,247159,537
589.8923162555377,212311,549
600.088855545395,157493,435
614.3365276909533,123831,593
615.3017776430712,128743,439
635.0492455863626,210666,552
636.3619524327925,200039,552
747.4074708451583,238704,464
818.2707865281762,103009,574
843.781725141637,240763,592
849.9891475374097,189174,428
856.9377927163849,141460,516
857.0028045876077,169045,528
885.7093203958093,233085,427
926.5936764867633,178235,563
940.7655084447472,152143,439
950.1308544783694,142349,538
1011.4968052703126,239029,400
1029.7699186274601,228085,404
1032.142610409683,195153,478
1037.616939628666,163143,545
1096.3471387839775,122453,587
1109.6574079807847,118143,594
1124.873348618097,132967,432
1146.4348897285108,244127,442
1152.5941263068,210923,454
1205.471281010359,152730,582
1212.9423641854312,197889,512
1258.9170315225053,218354,430
1264.6149005058348,116784,486
1265.0400731451132,245207,458
1282.7960879344428,101885,418
1307.4052263626393,115433,458
1308.8008112912626,108234,484
1310.270671283857,162391,471
1332.3820666998965,156160,538
1335.220524731904,249695,547
1348.019138465885,223987,504
1352.2436829963701,125409,568
1363.522979004505,211038,505
1376.1085817521453,114200,572
1397.3034619043292,125799,415
1407.6075418718926,188946,427
1413.3253842838703,149862,537
1425.2317712954032,210593,446
1431.7614807613388,165485,419
1443.4699767094307,244264,425
1444.5082323187537,241711,403
1513.9811792994465,161965,442
1524.4126446983244,226185,454
1564.4105281807415,115370,442
1573.9381464070188,202346,467
1626.1524624423757,219277,473
1637.1509821732682,245691,569
1662.4969230099832,140579,448
1669.5365802610431,115331,548
1696.152802984284,115979,591
1703.6788377457485,113144,549
1716.6342283789131,239231,440
1717.805454486519,233124,420
1755.9276661214824,117962,552
1757.3352755833241,161657,503
1759.8893662237779,249336,463
1777.1879702503104,110418,558
1778.8987664847516,248170,533
1786.5055308465219,168358,452
1808.662182638733,182361,461
1814.8366066575973,134308,571
1835.5775898220857,219858,480
1888.4842623883615,119016,402
1900.7445866052954,247585,425
1902.2662467154926,155877,529
1908.4293965171162,191490,417
1950.713409319638,196869,472
1954.1469020351014,242401,580
1961.3524489018248,238658,402
1983.3966160602108,245385,476
2037.0899428349794,127154,434
2043.233110959179,128058,590
2059.3470534541093,171394,472
2077.915829238335,189884,452
2101.178661678578,169201,529
2114.588061030003,113316,423
2134.706049553621,172530,411
2134.7770893524544,134293,563
2212.8165170345114,142357,589
2224.4785486030914,212115,543
2224.6728836978637,119724,576
2271.526150056431,243023,409
2307.5133178030233,244841,437
2318.7482138073415,110965,478
2327.8198465245814,110458,491
2332.5362309683615,165412,570
2334.7056183126147,246770,504
2407.573817218817,140515,460
2447.565096998023,146413,505
2448.0670713177196,187080,600
2501.4867515154283,165055,468
2504.954729395146,128336,497
2546.0953065181025,223388,456
2550.547501145175,220665,489
2557.8298631531557,159662,457
2558.308841848281,150627,502
2566.2665783039597,118198,597
2572.8123686429662,233537,502
2595.5709593582596,240565,484
2651.5864901035648,130236,466
2655.5206080346175,169590,409
2657.8154187221676,213918,488
2683.8946011749167,182228,511
2702.5332930701575,234066,429
2712.2623098596373,149828,465
2713.1703452928277,214309,400
2727.8464102600383,241151,575
2753.265050814794,151651,493
2764.5530038585925,186559,559
2772.088097707168,132669,584
2818.1491687806783,232939,479
2840.134993408974,185506,503
2864.02920432428,245335,432
2868.2891110308083,199390,573
2895.8663170901555,145620,557
2912.7041456807206,206450,540
2948.586410741307,179658,473
2953.305482880299,184475,519
2964.965741035142,156020,530
2977.7839027713294,144483,568
2979.5560584020977,235122,569
2999.6007041613034,187867,423
3033.722264784642,161569,572
3041.1557004949755,152200,437
3041.6502732081594,164184,521
3060.5478828967057,119091,516
3071.2516499212834,150970,583
3095.089521015869,229598,502
3100.6833874247936,101453,592
3140.0686817075384,127941,599
3151.14147212448,146107,578
3165.735942406319,113164,542
3171.468216064915,131813,516
3174.3303661433342,221803,570
3189.479041275273,246518,552
3197.11297652956,216017,556
3230.8616691153265,232324,509
3266.367879443359,243621,514
3311.8688545292434,224433,515
3317.869118270358,164812,563
3324.364654073233,236655,524
3344.0747071728515,171984,512
3345.687704345635,174901,460
3352.0289637638753,183809,538
3353.709157661917,139539,459
3363.368026797187,140056,580
3368.1827975083606,208755,504
3376.218676341376,222139,506
3377.50444921435,210138,499
3424.548041277047,105120,595
3441.6938768004993,225037,401
3498.8975153102792,178279,592
3508.7830039829632,209843,537
3536.31112573398,243165,554
3581.929818507585,227986,456
3588.3046150218684,227308,407
3598.1531077660347,205989,585
3601.7606502834315,222523,432
3680.7364415528136,240017,406
3728.2242647489743,247951,569
3728.7737863558505,212358,434
3769.099569310577,147639,412
3775.125896313042,185813,454
3787.25425509765,188473,594
3829.5996133160165,172943,592
3890.0018011771976,210510,464
3926.027202000334,223288,404
3953.675182044786,113653,489
3958.752963961187,117987,599
4021.817348842457,110553,593
4022.447781365813,164823,451
4059.003247978756,139946,461
4061.7018033179115,129986,544
4120.7387991911155,221905,579
4126.65963613007,196703,442
4145.282277187229,130024,599
4179.500748788887,181536,427
4196.78822622196,181777,547
4219.411800735556,198384,501
4276.176321974805,151990,419
4294.110881761857,163661,426
4318.004074729033,179058,575
4336.350480703801,131733,544
4366.874058789219,191017,536
4378.05960615655,197142,417
4392.162413992965,189451,403
4430.0483105144,228503,427
4441.414700673886,194945,562
4485.848635190039,220517,581
4489.169517883491,146173,587
4503.921815256979,170800,557
4536.947776128652,241078,598
4550.161279282279,214183,587
4568.114320556971,184490,462
4603.639645059392,122718,471
4646.318644451876,163927,592
4658.817519617184,199349,486
4659.399917542745,185200,446
4672.770957578193,193015,466
4681.091537068786,172422,542
4681.295596835816,150084,421
4686.820051160332,206542,525
4703.021592286731,162999,576
4715.95041834246,228665,514
4747.444662937537,124393,475
4752.454865414668,163780,478
4774.26536826975,196736,521
4790.390474458036,190113,508
4904.256015224001,244281,484
4912.927459818241,218946,469
4920.251087892081,160434,430
4945.802350402096,182719,430
4972.966680676966,148535,449
4977.843420499191,226929,470
5003.632945137363,237530,552
5010.286497734194,126352,449
5017.313039213896,194602,445
5024.511431508654,240020,432
5030.924115126641,114293,541
5037.834199220565,133103,563
5078.403267081423,228680,426
5119.63054333981,174537,520
5132.659680213457,189314,447
5199.99423306238,166185,522
5202.416966785914,117129,502
5215.952467960846,114053,438
5219.183975091576,247545,477
5220.964554038554,165061,430
5237.296766983533,209097,555
5255.429855465699,159162,598
5270.216716198341,218099,513
5277.2747329101985,212415,478
5294.090490135771,115789,556
5358.522469437947,126013,595
5363.180991984772,155318,467
5384.78238562277,141171,461
5388.601081673082,119677,440
5388.654667848024,218096,576
5406.673411664526,176351,408
5411.93908750505,174112,579
5451.205242156262,118659,575
5456.521665770889,169351,560
5474.343366848169,151857,508
5476.781664854835,158932,565
5480.00827877115,169633,436
5481.49003470442,143495,478
5499.569573742612,249214,473
5511.135732501061,222866,576
5518.386465463648,205515,469
5532.268305083232,229445,512
5533.9455450454525,110449,510
5560.470909401136,165632,406
5562.386306615846,105438,595
5584.698317176643,170650,547
5585.519584173371,145925,520
5600.155840914169,215927,471
5604.161213372373,214264,562
5637.827740958055,123918,520
5646.380760742651,187374,482
5668.56210635646,142159,484
5679.170604843935,229884,473
5700.8993511703065,204976,594
5716.87379928771,219229,422
5724.426435467462,184744,429
5794.681125338739,205952,531
5829.532193543402,100301,568
5870.239535975742,221104,505
5871.354105341241,235905,492
5890.8448933931895,230676,560
5902.514287726115,113529,452
5908.7280137954585,134344,473
5920.257214301256,227064,431
5920.843101559728,162730,581
5924.291591385455,244399,403
5940.362059085687,124434,457
6037.581740535289,129743,518
6096.353942634019,140362,527
6150.311898843578,176509,530
6174.7554238983475,208918,523
6253.242025051132,163892,516
6269.268483796118,200554,448
6320.2556336739835,233232,591
6362.548927644739,118300,470
6392.1764306650375,208774,487
6446.613854215809,233100,468
6480.970968729324,174144,585
6488.063248677207,228356,438
6499.894831772948,226967,488
6507.977350548187,242456,496
6520.129390725108,184352,448
6599.159882471434,162601,546
6608.816662665942,207682,411
6616.476346643904,223987,580
6665.4124242898815,199937,498
6754.5715837638045,139873,526
6821.519657951751,133094,528
6888.77088137819,187030,425
6930.230589774027,215423,425
6945.159485178466,219780,403
6970.794124040698,207473,567
7040.89649873633,119615,520
7071.318199149915,169474,486
7090.842167018007,204197,566
7092.516655166967,186131,572
7131.745158691393,199617,481
7151.457930894192,227912,538
7152.189117326807,117936,460
7172.137019131087,175334,458
7199.605874425987,213763,425
7228.179033040643,126347,513
7231.81822037,178503,407
7232.759863185665,114711,475
7241.6376422423455,212901,437
7247.237144054178,208016,544
7270.138670656599,147200,443
7273.987789915082,200281,558
7296.973352669435,230460,549
7300.062447326702,220887,563
7305.922433389071,166932,570
7306.111270707326,221963,473
7328.751191377226,141412,418
7340.409434878061,190587,550
7347.518784032187,211230,576
7353.275044970297,179199,450
7500.784371739538,226670,427
7506.199709345151,249926,491
7523.304183159408,177392,405
7599.588034675381,203758,470
7599.750653323019,112856,555
7627.093994844356,175024,598
7659.169088646702,192358,456
7679.415095061186,165700,573
7707.592220513341,135855,560
7709.636506136433,110334,479
7740.717562136675,108746,548
7749.795797602675,134448,423
7797.872171949079,185647,591
7808.612247759134,152637,433
7839.4958168179455,195907,535
7853.430680075767,171441,442
7859.3710595165185,226313,475
7886.823571686099,188792,429
7899.458269588252,119739,436
7927.519064752267,159143,573
7953.281862959597,204179,542
7962.388894475847,203435,403
7968.53186293294,132398,516
7977.727722722729,168724,549
7987.321546751675,197379,427
8009.790093082275,223594,406
8029.117938712789,247169,483
8078.480323809496,158030,565
8079.786396963179,221704,579
8086.982570356947,207032,429
8089.993843068178,109754,477
8200.063192350808,130440,424
8205.415554026786,240914,434
8215.257130693317,197258,571
8274.925604773045,241608,507
8292.62824691293,140507,506
8313.907936982827,228279,557
8324.396825305386,173332,408
8347.838600475841,156955,513
8359.603386774543,161895,492
8361.696260551915,196294,539
8408.090114987808,194024,415
8418.244711493267,149757,431
8477.76753555699,219201,423
8499.50726249255,105598,412
8530.417246770754,163850,432
8561.344452801663,153793,417
8596.762170198577,245282,453
8614.418471322435,161079,484
8644.195521047977,100743,470
8683.29136832908,137929,433
8698.831314003288,145743,428
8720.469818467685,106758,433
8720.769255429623,162372,550
8728.593739150676,145677,467
8729.670174555662,210352,534
8732.083026364135,116661,521
8743.977145036366,194906,531
8761.988741865465,218490,528
8766.997745924275,111367,586
8797.575836671767,236695,477
8809.827191365266,108165,415
8941.064528636598,205281,509
8964.23798540263,228521,582
9012.330525410365,119265,420
9020.105984020825,138884,416
9022.803866739692,243748,582
9030.670213873642,239082,475
9042.76251838944,212774,425
9074.272534617072,129992,567
9095.321426671246,244529,584
9135.444105656194,212740,515
9179.245494344785,208478,486
9214.383292144115,204524,506
9240.541275982674,181932,509
9248.035830689203,166817,495
9309.441722180045,224326,417
9311.354872326408,122377,423
9322.663202065854,197687,433
9338.918523175314,247216,543
9346.917509579273,132042,505
