arrived_at,num_prefill_tokens,num_decode_tokens
7.826296884696085,59544,20937
28.87620924611462,38988,34911
44.22853840654955,115863,27096
45.42351566611558,153021,15035
46.18784970853047,133677,21702
47.636154636437354,43779,26056
58.68714253250901,168230,12056
117.6068322583052,172829,39054
118.88399767401582,173496,20998
119.9012193961764,77955,9526
136.1698065327129,54910,17489
147.03468390171716,161737,11859
163.95662771482495,166868,34742
186.87087512141903,47015,27057
203.80637333028994,69249,20202
205.85656668285094,36459,26493
207.08559081150122,73990,24266
229.89929043506547,132090,33468
237.44113460204414,173501,38259
249.5140066360435,98582,16140
281.1484656828087,83988,10682
298.2346867368251,157677,24223
339.8455289702712,137659,17435
358.62438724707994,39189,11868
372.97043205678233,63243,32809
381.3431353177151,148178,21818
382.1430665452157,40347,33053
398.4754024989421,102247,19145
422.24365021099266,175810,24275
439.58867191529174,139591,10253
476.23627415977717,90762,23535
500.11950057626217,37039,9988
526.3922285154106,101161,29205
543.6446796694489,136822,17325
568.8645602961518,110965,8739
625.3501404431905,113182,13506
644.2295229963412,149418,9931
649.1528484051573,95348,12238
675.9688220639138,124306,20810
725.7028815914681,150156,10640
729.3421048056827,125288,26004
735.8522518928835,55894,34846
747.1129421835487,164236,17123
771.6234576809006,114049,30371
814.7400331702619,80490,12945
816.4726554942858,59661,15600
837.9617842070088,23162,23891
873.529990929204,67800,16609
880.1537754807714,58188,21728
895.4505476626401,179858,26557
903.1230059969182,52896,30626
942.3315795797353,34153,22963
988.2901008542418,166609,20857
998.442370969,123316,11392
1011.5795561752819,124973,10039
1015.8090327775251,74726,22438
1019.3510136418432,109143,27684
1020.4311764065076,20061,26572
1023.7113402769876,46598,39095
1032.7502117473425,26684,10304
1074.2325072098683,118626,12867
1094.357339994595,111066,27735
1103.4136145757452,52202,11779
1141.2147710553838,142156,23741
1154.441333685915,42514,12722
1156.5972168828107,109819,32259
1162.748298380605,62320,24919
1163.215630504544,158479,19853
1166.3862281699962,162389,37954
1166.934525535518,158440,17767
1243.7297284635483,43857,30812
1281.0741693680309,155894,20016
1328.8497876745612,113243,33294
1333.8907524936646,161968,33528
1347.8618690417902,78469,28094
1381.2362078108997,71156,34413
1386.7088373908919,125037,32244
1419.2329988209967,72407,24961
1432.8092803775694,27596,8915
1464.0331084533618,143794,16492
1468.33773085019,178633,39343
1476.778187249222,111624,39293
1550.1714753633403,41112,15224
1552.3266798259483,143228,14445
1560.5685447362998,146524,28449
1644.8974287942435,179976,35539
1644.9356315238383,110179,34202
1665.5434792743538,51432,37811
1675.3814548394207,72250,23664
1719.347939267166,133750,33858
1739.5513002225248,42740,34241
1797.988057854498,123766,23176
1808.2508510985335,42261,31750
1811.710700476691,53302,8902
1814.9881727130983,141989,34427
1836.3222020742498,176203,23543
1857.7383487233626,111857,13108
1873.649037537294,54336,8701
1873.9359443836972,46941,25255
1901.6215704372166,56503,22215
1987.7962332293657,71067,35071
2029.2109207970766,27338,16252
2033.9958660626996,151376,15881
2062.847217023232,105456,16498
2078.567944572439,54360,9995
2126.7306473970257,112742,37415
2138.9863742904886,172921,34707
2185.9164398354137,130265,35103
