arrived_at,num_prefill_tokens,num_decode_tokens
0.1297331774811997,12255,1908
0.32776632288223195,8416,1095
1.5111494580349794,10173,5007
1.6920962898785274,7694,1369
2.060597326935529,19341,1515
2.8568691845243066,20000,678
3.1206733109017013,16147,2041
3.863003855607632,14676,1298
4.451114627483276,17147,1844
4.492173191972869,20000,929
4.606125716715788,11308,1119
5.391998879344768,6574,1963
5.515296108361627,7858,1991
6.4110087252074255,19191,2888
6.581833373152223,10835,2739
9.096413472046779,10231,1271
9.225056385041869,13932,1782
10.012108744400331,18442,2097
10.252515793513396,6502,2904
11.135185883812886,4725,1297
11.9769295075698,17584,2255
12.916061829056725,11839,2900
12.993225780921026,11580,6000
13.15356576964066,16962,3878
13.680325291555613,7011,2624
14.308096316718535,19721,2027
14.452874088454285,8638,2205
15.411446088821014,11635,1316
15.639628252953312,20000,2512
15.671083666215246,20000,2254
16.278936091096504,17437,2406
16.309815678348926,12462,2051
16.788545579393457,18207,2053
16.96329451196816,10866,2170
17.24884994042715,8684,1410
17.331257598337316,20000,2191
17.348909344173585,16278,1544
17.40875241543071,12402,2077
19.91982410099391,8212,1879
20.024795792683893,9715,6000
20.33180077877386,11306,1086
20.41574304023455,10497,2737
20.772473474407107,10552,2623
22.014422900310873,18546,2424
22.20614111369266,11056,1325
22.494660966948782,11614,2345
22.715579511997394,18831,1260
24.560787347510455,9304,1874
24.662705679034598,15332,1633
25.8074050531604,15508,2475
