arrived_at,num_prefill_tokens,num_decode_tokens
0.12285572064725503,142107,387
1.0558852957651232,112439,426
1.1833481376349075,117866,288
1.707902814056785,115785,170
1.7979476374208185,148629,1886
1.8145726964623439,137445,554
2.7752126194392215,89997,424
3.1753530684053914,118142,1365
3.4464603435058057,75628,1354
3.8589814369057467,88642,1822
4.04344156031413,133237,1992
4.341912598429258,136280,359
5.51571217204526,75957,360
5.583784452335716,80019,639
6.985061741413932,82039,636
7.49384425923494,73755,2000
7.577779289952176,120230,317
7.713292088732572,90479,179
8.069538292094812,107056,162
8.341844026381485,68926,204
