arrived_at,num_prefill_tokens,num_decode_tokens
0.9709996818167839,116841,169
1.29397809360389,65524,1402
1.3362244746847216,97253,1535
1.5611317901855717,130189,350
2.4594474506090984,9084,1609
2.9351332373140044,414685,774
3.7486060508017762,130391,636
4.142374950294553,3207,100
4.399196133546794,58430,626
4.778206767816592,133212,94
5.853299591539476,92006,531
5.976710354425445,106865,531
6.479885804128074,11946,720
7.637929770493377,4744,603
7.657938413992414,560939,254
7.999393397790318,133414,74
8.814915251671149,95135,1158
9.006604056268184,12901,299
9.745606884527747,121652,568
11.577915645411679,15447,272
11.614110829816259,81785,140
11.695658386270564,64883,171
12.547134327050129,68589,387
12.641838779095128,8728,194
12.782677774183039,11256,532
13.521332929843597,104498,388
14.616724731133697,147160,313
14.836389213316444,137208,262
14.839216931839978,142521,734
14.893516649541269,68495,431
15.31658070601723,127767,485
16.046216300679966,122961,228
16.047492647683026,5027,520
16.475482032126905,13172,162
16.71814446790868,755010,179
16.81512275107926,138282,381
16.916838348995203,124008,401
16.953284293423813,14791,252
18.611943323676485,104150,390
19.00625543491378,149180,249
