arrived_at,num_prefill_tokens,num_decode_tokens
0.3226052175160726,764887,254
0.5793579278288649,78731,1905
0.9168886691936041,108597,365
1.7904522161883722,100186,976
2.428992241301684,116527,200
2.943850499707431,7568,914
3.324650266584513,73247,322
3.9158586743315897,113832,2000
4.108710908936968,103415,200
5.429930503515366,125952,302
5.928785226326412,116579,386
7.620488593429767,17210,339
8.806290837722333,3773,330
8.918124891031084,12206,200
9.036609810370832,13877,528
9.309049094342456,16919,246
9.717316411268476,77246,492
9.743453978861421,6561,382
10.325153412133286,5812,209
10.636775620901393,7651,459
10.818022209046447,17195,549
11.220330292434868,626848,442
11.431710684630048,5858,601
11.90034514231006,137424,298
12.368469795029762,5444,631
13.829148152498904,15844,601
13.90368541024935,122635,200
14.46833830956508,109494,1488
15.174726290887188,520130,659
15.213416488086693,7151,443
15.21756244996075,75614,200
15.317708605593037,145323,1191
15.732240222555363,9043,977
15.778749827799885,404846,332
16.070660689885514,19716,519
16.203875469104418,136072,558
16.40397163308546,58296,348
16.85886131003972,70721,652
17.230940731114437,113373,298
18.113242258031473,7223,200
18.621309833786448,5055,642
18.803171713375953,117460,935
18.86210659607306,8055,335
18.92478489800651,3698,350
19.526737385932943,17574,439
19.534312714243413,9335,687
19.844770194352314,103882,253
20.411006217372382,12246,691
20.423939666357885,106850,801
20.76640869293929,5062,594
21.098095318067408,141040,617
22.210955834097565,61127,525
22.21950443403926,95392,200
22.722964851331554,113165,708
22.95673273658847,76101,200
23.14268233983182,68983,428
23.18767950618671,4074,733
23.53562549969686,5740,200
23.982064071142936,7079,705
24.32299884465405,144028,929
24.426832104832872,125805,770
26.2614195057445,122435,274
27.451365639484976,4431,380
27.49028731377486,99063,711
27.499159973124854,81455,200
27.95285119453813,126726,641
28.3103600601886,115283,1523
28.59068033900129,12532,245
28.720490365154575,9101,480
28.83711637254579,124542,927
29.656625681563874,79043,200
30.456921804002153,117748,1485
31.627539076754417,787505,368
32.238568373247865,650642,553
32.383592864537874,15624,558
32.53296397220158,9143,233
33.3181519077613,14894,200
34.02912008433366,58948,888
34.36942198223394,92893,1486
34.939520892579026,5296,218
